PokerStars Tournament #3911960312, No Limit Hold'em
  383: nillolok (Brazil), 
  384: R£SILI£NC£ (Brazil), 
  385: IhaveNoClue1 (Germany), 
  386: Juhuli97 (Finland), 
  387: CaretaDoblehilo (Argentina), 
  388: mendamaster9 (Brazil), 
  389: oilucas2007 (Brazil), 
  390: WesternLama (Germany), 
  391: HPTHerd (Germany), 
  392: OMGItsaShark (Brazil), 
  393: raphajoganada (Brazil), 
  394: Joris2210 (Belgium), 
  395: SirGomes (Brazil), 
  396: CareyX (United Kingdom), 
  397: priihbueno (Brazil), 
  398: BR All-in-e (Brazil), 
  399: soon_b_ (South Korea), 
  400: Lucas1A (Germany), 
  401: theristis88 (Greece), 
  402: aldeliopstar (Lithuania), 
  403: D. Achilles (Brazil), 
  404: Isildur7777 (Ireland), 
  405: brian 27979 (United Kingdom), 
  406: prettyboyyy [2] (Germany), 
  407: mambo52 (United Kingdom), 
  408: OndeJogaste? [2] (Brazil), 
  409: Keule668 (Germany), 
  410: RUPETHERUPE (United Kingdom), 
  411: Toad9862 (Sweden), 
  412: Shipeerson (Brazil), 
  413: RRONNEY (Brazil), 
  414: sniper18 (Canada), 
  415: furorxd (Brazil), 
  416: Type_97 [3] (Brazil), 
  417: operatorul08 (Romania), 
  418: workinmyname (Sweden), 
  419: odiak4 [2] (Greece), 
  420: EmJott2008 (Germany), 
  421: TopLobster (Canada), 
  422: ZackHornberger [2] (Germany), 
  423: leggy136 (United Kingdom), 
  424: d5f5s1 (Brazil), 
  425: Moll17 (United Kingdom), 
  426: LuckyEST99 (Estonia), 
  427: alisson soar (Brazil), 
  428: ixxon1337 [2] (Sweden), 
  429: el_tomaco92 (Switzerland), 
  430: gregorio254 [2] (Brazil), 
  431: bergue12 (Brazil), 
  432: Michalis Basios (Greece), 
  433: alex13561 [3] (Moldova), 
  434: Breckmann95 [2] (Faroe Islands), 
  435: jvsaid (Brazil), 
  436: lauromtb (Brazil), 
  437: CesarDF [2] (Brazil), 
  438: Afioni643 (Greece), 
  439: OndeJogaste? (Brazil), 
  440: Benitoj19 (Argentina), 
  441: Vartulio (Brazil), 
  442: patriciaross (Brazil), 
  443: charlypicaro [3] (Mexico), 
  444: WTLIS [2] (Sweden), 
  445: NINJJA18 (Ukraine), 
  446: ninobomba014 (Chile), 
  447: BaraCPH [3] (Denmark), 
  448: ixxon1337 (Sweden), 
  449: Ryan_Peste [2] (Brazil), 
  450: Purulelu23 (Finland), 
  451: matty_d129 (United Kingdom), 
  452: piwtorak1 (Brazil), 
  453: jasonc7 (United Kingdom), 
  454: BaraCPH [2] (Denmark), 
  455: chess1000 (Ukraine), 
  456: kevindelucci (Brazil), 
  457: vendet@70 (Greece), 
  458: pookah4life (Sweden), 
  459: Type_97 [2] (Brazil), 
  460: VitorMira_2 (Brazil), 
  461: CesarDF (Brazil), 
  462: Endrju_Bdg (Germany), 
  463: SeteDuqueOff (Brazil), 
  464: jeneval28 (Brazil), 
  465: iamgusik [2] (Belarus), 
  466: ownagemind (Moldova), 
  467: Cordeiro212 (Brazil), 
  468: devv100 (United Kingdom), 
  469: tenrafaelpai (Brazil), 
  470: mazzma [2] (Sweden), 
  471: b00552805 [3] (Canada), 
  472: healthiswealth (Finland), 
  473: Rabatz1312 [3] (Austria), 
  474: EOBIXXX (Brazil), 
  475: b00552805 [2] (Canada), 
  476: leduarte92 (Brazil), 
  477: Wonderland9595 (Brazil), 
  478: mahatma0815 (Austria), 
  479: RenanLaPola (Brazil), 
  480: Breckmann95 (Faroe Islands), 
  481: Massada1993 (Sweden), 
  482: Torje10 (Denmark), 
  483: ICU2014 (United Kingdom), 
  484: Caesarrrrr [2] (Brazil), 
  485: Toni_Run (Brazil), 
  486: AllanEM [3] (Guatemala), 
  487: 0321pro (Brazil), 
  488: XxMvPokeRxX (Brazil), 
  489: Diueguis (Argentina), 
  490: Beckovic (Denmark), 
  491: Sundboel (Denmark), 
  492: zugmoraes (Brazil), 
  493: Sheikh Yerbouti [2] (Sweden), 
  494: nitho123 (Sweden), 
  495: fechaud [2] (Brazil), 
  496: NoxoPoker (Brazil), 
  497: Toshiro_Koga (Brazil), 
  498: Morroi (Brazil), 
  499: hameleon69 (Ukraine), 
  500: iamgusik (Belarus), 
  501: p1ckAnother [2] (Ukraine), 
  502: Havaianas 43-44 (Brazil), 
  503: mcluvin44 (Canada), 
  504: Chuurk (Brazil), 
  505: onraz (Belgium), 
  506: datgui (Canada), 
  507: ToJo 59 (Sweden), 
  508: Type_97 (Brazil), 
  509: KArro:(doido (Brazil), 
  510: Lilyallen10 (United Kingdom), 
  511: Tabs1e (Finland), 
  512: Mattheusrnto [2] (Brazil), 
  513: AllanEM [2] (Guatemala), 
  514: alex13561 [2] (Moldova), 
  515: Capitán joda (Argentina), 
